Organisationsname,Straße,Postleitzahl,Stadt,Bildungsbereich,Tag(s),Schultyp,Bundesland,Land,Änderungsdatum
Marie-Curie-Gymnasium Hohen Neuendorf,Waldstraße 1a,16540,Hohen Neuendorf,,"Ehrung_2015,Bewerbung MINT 2015,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BB,Deutschland,2020-05-28 09:42:10
Evangelische Gemeinschaftsschule Doberlug-Kirchhain,Karl-Marx-Straße 32-34,3253,Doberlug-Kirchhain,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Oberschule,BB,Deutschland,2020-05-14 12:28:37
Grace-Hopper-Gesamtschule Teltow,Albert-Wiebach-Str. 4,14513,Teltow,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gesamtschule mit gymn. Oberstufe,BB,Deutschland,2020-05-04 13:54:32
Schule am Schloss Potsdam,Esplanade 5,14469,Potsdam,,"02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gesamtschule,BB,Deutschland,2020-05-31 20:35:09
Carl-Friedrich-von-Siemens-Gymnasium Berlin,Jungfernheideweg 79,13629,Berlin,,"Ehrung_2012,Bewerbung MINT 2012,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BE,Deutschland,2020-07-24 12:15:59
Berlin Cosmopolitan School Gymnasium Berlin,Rückerstraße 9,10119,Berlin-Mitte,,"Interessenten MINT-freundliche Schule,Ehrung_2017,Erstbewerber MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BE,Deutschland,2020-08-04 21:58:08
Berlin Cosmopolitan School Grundschule Berlin,Rückerstraße 9,10119,Berlin-Mitte,Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BE,Deutschland,2020-08-04 00:43:46
ISS Schule an der Jungfernheide Berlin,Lenther Steig 1-3,13629,Berlin,,"Ehrung_2016,Erstbewerber MINT 2016,Erneute Bewerbung MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",ISS mit gymnasialer Oberstufe O,BE,Deutschland,2020-08-03 18:33:47
Wirtemberg-Gymnasium Stuttgart,Lindenschulstraße 20,70327,Stuttgart,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020",Gymnasium,BW,Deutschland,2020-05-27 12:09:43
Hebel-Gymnasium Pforzheim,Simmlerstraße 1,75172,Pforzheim,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-31 19:08:43
