Organisationsname,Straße,Postleitzahl,Stadt,Bildungsbereich,Tag(s),Schultyp,Bundesland,Land,Änderungsdatum
Geschwister-Scholl-Gymnasium Löbau,Pestalozzistraße 21,2708,Löbau,,"Bewerbung MINT 2015,Ehrung_2015",Gymnasium,SN,Deutschland,2017-09-01 09:15:23
Friedrich-Schleiermacher-Gymnasium Niesky,Bahnhofstraße 2,2906,Niesky,,"Bewerbung MINT 2012,Bewerbung MINT 2015,Ehrung_2012,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018",Gymnasium,SN,Deutschland,2018-06-22 12:18:44
Goethe-Gymnasium Bischofswerda,"August-König-Straße, 12",1877,Bischofswerda,,"Bewerbung MINT 2012,Bewerbung MINT 2015,Ehrung_2012,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018,Wissensfabrik Partnerschulen 2018",Gymnasium,SN,Deutschland,2018-09-28 11:44:55
Freies Gymnasium Penig,Schützenhausweg 4,9322,Penig,,"Bewerbung MINT 2012,Bewerbung MINT 2015,Ehrung_2012,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018",Gymnasium,SN,Deutschland,2018-05-21 17:40:49
Immanuel-Kant-Schule Leipzig,Scharnhortsstraße 15,4275,Leipzig,,"07 ReZi HF,Bewerbung MINT 2012,Bewerbung MINT 2015,Ehrung_2012,Ehrung_2015,Ehrung_2019,Erneute Bewerbung MINT 2019",Gymnasium,SN,Deutschland,2019-05-29 13:14:15
Lessing-Gymnasium Hoyerswerda,Pestalozzistraße 1,2977,Hoyerswerda,,"Bewerbung MINT 2012,Bewerbung MINT 2015,Ehrung_2012,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018",Gymnasium,SN,Deutschland,2018-05-23 10:44:31
Gymnasium Dresden-Bühlau,Quohrener Str. 12,1324,Dresden,,"07 ReZi HF,Bewerbung MINT 2012,Bewerbung MINT 2015,Ehrung_2012,Ehrung_2015,Ehrung_2019,Erneute Bewerbung MINT 2019",Gymnasium,SN,Deutschland,2019-05-29 08:45:50
Landesgymnasium Sankt Afra Meißen,Freiheit 13,1662,Meißen,,"Bewerbung MINT 2012,Ehrung_2012,MINT-EC",Gymnasium,SN,Deutschland,2017-09-01 09:15:23
Goethe-Gymnasium Sebnitz,Weberstraße 1,1855,Sebnitz,,"Bewerbung MINT 2013,Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Unesco Projektschule,Wissensfabrik Partnerschulen 2018",Gymnasium,SN,Deutschland,2018-09-11 13:26:43
"Gymnasium ""Alexander von Humboldt"" Werdau",Alexander-von-Humboldt-Straße 2-4,8412,Werdau,,"07 ReZi HF,Bewerbung MINT 2013,Ehrung_2013,Ehrung_2016,Ehrung_2019,Erneute Bewerbung MINT 2016,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt",Gymnasium,SN,Deutschland,2019-04-09 12:44:55
Oberschule Dresden-Pieschen,Robert-Matzke-Straße 14,1127,Dresden,,"00 bearbeitet von Solka,01 MINT-fr. Schule Ehrung_2020,02 Erneute Bewerbung MINT-fr. Schule 2020,Bewerbung Digitale Schule 2018,Bewerbung MINT 2014,Digitale Schule Ehrung 2018,Ehrung_2014,Ehrung_2017,Erneute Bewerbung MINT 2017",Oberschule,SN,Deutschland,2020-05-19 11:47:55
Julius-Motteler-Gymnasium Crimmitschau,Lindenstraße 6,8451,Crimmitschau,,"00 bearbeitet von Solka,01 MINT-fr. Schule Ehrung_2020,02 Erneute Bewerbung MINT-fr. Schule 2020,Bewerbung MINT 2014,Ehrung_2014,Ehrung_2017,Erneute Bewerbung MINT 2017,MINT-EC",Gymnasium,SN,Deutschland,2020-05-18 08:03:53
Pestalozzi-Gymnasium Heidenau,Hauptstraße 37,1809,Heidenau,,"00 bearbeitet von Solka,01 MINT-fr. Schule Ehrung_2020,02 Erneute Bewerbung MINT-fr. Schule 2020,Bewerbung MINT 2014,Ehrung_2014,Ehrung_2017,Erneute Bewerbung MINT 2017",Gymnasium,SN,Deutschland,2020-05-27 18:23:24
"Gymnasium ""Am Breiten Teich"" Borna",Am Breiten Teich 4,4552,Borna,,"Bewerbung MINT 2015,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018,Wissensfabrik Partnerschulen 2018",Gymnasium,SN,Deutschland,2018-09-20 14:51:00
Löwenzahn-Grundschule Großpösna,Hauptstraße 8,4463,Großpösna,Primarbereich,"Bewerbung MINT 2015,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018",Grundschule,SN,Deutschland,2018-09-21 16:38:05
Grundschule Naußlitz,Saalhausener Straße 61,1159,dresden,Primarbereich,"Bewerbung MINT 2015,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018",Grundschule,SN,Deutschland,2018-05-02 14:10:43
Grundschule Lengefeld,Schulstraße 9,9514,Pockau-Lengefeld,Primarbereich,"Bewerbung MINT 2015,Ehrung_2015",Grundschule,SN,Deutschland,2017-09-01 09:15:23
Werner-Heisenberg-Schule Leipzig,Renftstraße 3,4159,Leipzig,,"Bewerbung MINT 2015,Ehrung_2015",Gymnasium,SN,Deutschland,2017-09-01 09:15:23
Vitzthum-Gymnasium Dresden,Paradiesstraße 35,1217,Dresden,,"07 ReZi HF,Bewerbung MINT 2015,Ehrung_2015,Ehrung_2019,Erneute Bewerbung MINT 2019",Gymnasium,SN,Deutschland,2019-08-05 23:00:03
Gymnasium Dreikönigschule Dresden,Louisenstr. 42,1099,Dresden,,"Bewerbung MINT 2015,Ehrung_2015",Gymnasium,SN,Deutschland,2017-09-01 09:15:23
Gymnasium Engelsdorf,Arthur-Winkler-Str. 6,4319,Leipzig,,"Bewerbung MINT 2015,Ehrung_2015",Gymnasium,SN,Deutschland,2017-09-01 09:15:23
Gymnasium Burgstädt,Fr.-Marschner-Str. 18,9217,Burgstädt,Sekundarbereich I+II,"Ehrung_2016,Erstbewerber MINT 2016",Gymnasium,SN,Deutschland,2020-08-22 12:09:44
Gustav-Hertz-Gymnasium Leipzig,Dachsstraße 5,4329,Leipzig,,"07 ReZi HF,Bewerbung MINT 2015,Ehrung_2015,Ehrung_2019,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt",Gymnasium,SN,Deutschland,2019-04-12 12:13:12
"Franz-Mehring-Schule, Grundschule der Stadt Leipzig",Gletschersteinstraße 9,4299,Leipzig,Primarbereich,"Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018,Wissensfabrik Partnerschulen 2018",Grundschule,SN,Deutschland,2018-09-25 08:22:42
"Schule 5 im Stadtbezirk Mitte, Grundschule der Stadt Leipzig",Eitingonstr. 5,4105,Leipzig,Primarbereich,"Bewerbung Digitale Schule 2019,Digitale Schule Ehrung 2019,Vorbewertung 2019 erfolgt",Grundschule,SN,Deutschland,2019-05-29 12:12:54
Oberschule Mockrehna,Schulstraße 8,4862,Mockrehna,,"Ehrung_2018,Erstbewerber MINT 2018",Oberschule,SN,Deutschland,2018-09-16 23:32:40
Karl-Schmidt-Rottluff-Gymnasium Chemnitz,Hohe Straße 25/35,9112,Chemnitz,,"Bewerbung MINT 2015,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018",Gymnasium,SN,Deutschland,2018-09-11 09:59:28
"Arwed-Rossbach-Schule, Berufliches Schulzentrum der Stadt Leipzig",Am Kleinen Feld 3/5,4205,Leipzig,,"00 bearbeitet von Solka,01 Digitale Schule Ehrung_2020,01 MINT-fr. Schule Ehrung_2020,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,Bewerbung Digitale Schule 2018,Bewerbung Digitale Schule 2019,Digitale Schule Ehrung 2018,Digitale Schule Ehrung 2019,Ehrung_2019,Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt","Berufliches Gymnasium, Berufsschule",SN,Deutschland,2020-05-06 11:18:48
Max-Klinger-Schule Leipzig,Miltitzer Weg 2,4205,Leipzig,,"00 bearbeitet von Solka,01 Digitale Schule Ehrung_2020,02 Erneute Bewerbung Digitale Schule 2020,03 Vorbewertung 2020 erfolgt,Bewerbung Digitale Schule 2017,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018",Gymnasium,SN,Deutschland,2018-09-28 11:39:25
Christoph-Graupner-Gymnasium Kirchberg,Christoph-Graupner-Str. 01,8107,Kirchberg,,"Bewerbung MINT 2012,Bewerbung MINT 2015,Ehrung_2012,Ehrung_2015,Ehrung_2018,Erneute Bewerbung MINT 2018",Gymnasium,SN,Deutschland,2018-09-28 11:34:16
"Anton-Philipp-Reclam-Schule, Gymnasium der Stadt Leipzig",Tarostraße 4,4103,Leipzig,,"Ehrung_2019,Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt",Gymnasium,SN,Deutschland,2019-12-19 14:38:32
Gotthold-Ephraim-Lessing-Gymnasium Döbeln,Straße des Friedens 9,4720,Döbeln,,"Bewerbung Digitale Schule 2019,Digitale Schule Ehrung 2019,Smart School 2018,Vorbewertung 2019 erfolgt",Gymnasium,SN,Deutschland,2019-12-19 14:39:59
Helmholtzschule-Oberschule der Stadt Leipzig,Endersstraße 18,4177,Leipzig,,"00 bearbeitet von Solka,01 MINT-fr. Schule Ehrung_2020,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt",Oberschule,SN,Deutschland,2020-08-06 15:48:35
