Organisationsname,Straße,Postleitzahl,Stadt,Bildungsbereich,Tag(s),Schultyp,Bundesland,Land,Änderungsdatum
Deutsche Internationale Schule Zagreb,Fratrovac ul. 36,10000,Zagreb,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020",Gymnasium,1,Kroatien,2020-03-10 10:34:56
Deutsche Botschaftsschule Teheran,"Shariati, Pol-e Sadr, Shahid Keshani Str.",1939613663,Teheran,,"Ehrung_2015,Auslandsschule,Bewerbung MINT 2015,Bewerbung Digitale Schule 2019,Erneute Bewerbung MINT 2019,Vorbewertung 2019 erfolgt,07 ReZi HF,Digitale Schule Ehrung 2019,01 MINT-fr. Schule Ehrung_2020",Gymnasium,7,"Iran, Islamische Republik",2020-05-26 09:50:20
Lindengrundschule Jüterbog,Geschw.-Scholl-Str. 10a,14913,Jüterbog,Primarbereich,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BB,Deutschland,2020-08-12 09:42:57
Gesamtschule Peter Joseph Lenné Potsdam,Humboldtring 15 - 17,14473,Potsdam,,"Ehrung_2015,Bewerbung MINT 2015,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gesamtschule,BB,Deutschland,2020-05-26 11:55:12
Evangelische Gemeinschaftsschule Doberlug-Kirchhain,Karl-Marx-Straße 32-34,3253,Doberlug-Kirchhain,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Oberschule,BB,Deutschland,2020-05-14 12:28:37
,Alfred-Nobel-Straße 10,14641,Nauen,,,,,,
Musikbetonte Gesamtschule Paul Dessau Zeuthen,Schulstraße 4,15738,Zeuthen,,"Ehrung_2017,Erstbewerber MINT 2017,Import 21.4.17,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gesamtschule,BB,Deutschland,2020-05-26 21:55:54
Werner-von-Siemens-Schule Gransee,Straße des Friedens 4,16775,Gransee,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020",Oberschule,BB,Deutschland,2020-05-19 11:03:10
Grundschule Friedland,Kirschgartenweg 31,15848,Friedland,Primarbereich,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BB,Deutschland,2020-04-03 11:21:22
Erwin-Strittmatter-Gymnasium Spremberg,Mittelstraße 1,3130,Spremberg,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020",Gymnasium,BB,Deutschland,2020-05-20 13:12:22
Carl-Friedrich-von-Siemens-Gymnasium Berlin,Jungfernheideweg 79,13629,Berlin,,"Ehrung_2012,Bewerbung MINT 2012,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BE,Deutschland,2020-07-24 12:15:59
Willi-Graf-Gymnasium Berlin Lichterfelde,Ostpreußendamm 166,12207,Berlin,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BE,Deutschland,2020-05-27 22:23:45
Berlin Cosmopolitan School Gymnasium Berlin,Rückerstraße 9,10119,Berlin-Mitte,,"Interessenten MINT-freundliche Schule,Ehrung_2017,Erstbewerber MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BE,Deutschland,2020-08-04 21:58:08
Platanus Schule Berlin,Berliner Straße 12,13187,Berlin,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gemeinschaftsschule,BE,Deutschland,2020-05-30 14:46:48
Dreilinden Gymnasium Berlin,Dreilindenstraße 49,14109,Berlin,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BE,Deutschland,2020-03-24 19:05:25
Berlin Cosmopolitan School Grundschule Berlin,Rückerstraße 9,10119,Berlin-Mitte,Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BE,Deutschland,2020-08-04 00:43:46
Goethe-Gymnasium Lichterfelde Berlin,Drakestraße 72-74,12205,Berlin,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,04 keine Digital Ehrung 2020,00 bearbeitet von Solka",Gymnasium,BE,Deutschland,2020-06-29 13:21:54
Emmy-Noether-Gymnasium Berlin,Pablo-Neruda-Straße 6-7,12559,Berlin,,"Ehrung_2017,Erstbewerber MINT 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BE,Deutschland,2020-08-03 21:45:16
ISS Schule an der Jungfernheide Berlin,Lenther Steig 1-3,13629,Berlin,,"Ehrung_2016,Erstbewerber MINT 2016,Erneute Bewerbung MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",ISS mit gymnasialer Oberstufe O,BE,Deutschland,2020-08-03 18:33:47
Martin-Buber-Oberschule Berlin,Im Spektefeld 33,13589,Berlin,,"Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,keine MINT Ehrung 2019,Smart school 2019,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Integrierte Sekundarschule ,BE,Deutschland,2020-07-30 08:09:43
Wirtemberg-Gymnasium Stuttgart,Lindenschulstraße 20,70327,Stuttgart,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020",Gymnasium,BW,Deutschland,2020-05-27 12:09:43
